	outbreakid	category	counts	completions	average
582	figshare12189336	Pharmaceutical Treatments	2	3	0.6666666666666666
583	figshare12189336	Repurposing	2	3	0.6666666666666666
584	figshare12189336	Virus Factors	2	3	0.6666666666666666
591	figshare12195441	Pathology/Radiology	2	3	0.6666666666666666
592	figshare12195441	Pharmaceutical Treatments	2	3	0.6666666666666666
593	figshare12195441	Symptoms	2	3	0.6666666666666666
594	figshare12195441	Virus Detection	2	3	0.6666666666666666
603	figshare12195696	Classical epidemiology	3	3	1.0
614	figshare12195735	Classical epidemiology	2	3	0.6666666666666666
615	figshare12195735	Symptoms	2	3	0.6666666666666666
616	figshare12195735	Treatment	2	3	0.6666666666666666
624	figshare12196296	Behavioral Research	2	3	0.6666666666666666
625	figshare12196296	Classical epidemiology	2	3	0.6666666666666666
632	figshare12197580	Diagnosis	2	3	0.6666666666666666
638	figshare12199017	Pharmaceutical Treatments	2	3	0.6666666666666666
639	figshare12199017	Repurposing	2	3	0.6666666666666666
641	figshare12199023	Repurposing	3	3	1.0
642	figshare12199023	Pharmaceutical Treatments	2	3	0.6666666666666666
645	figshare12212249	Behavioral Research	2	3	0.6666666666666666
651	figshare12219572	Classical epidemiology	3	3	1.0
652	figshare12219572	Forecasting	2	3	0.6666666666666666
656	figshare12221612	Behavioral Research	2	3	0.6666666666666666
662	figshare12226952	Behavioral Research	3	3	1.0
663	figshare12226952	Public Health Interventions	3	3	1.0
664	figshare12226952	Individual Prevention	2	3	0.6666666666666666
666	figshare12227543	Behavioral Research	3	3	1.0
669	figshare12229922	Antibody Detection	3	3	1.0
670	figshare12229922	Rapid Diagnostics	2	3	0.6666666666666666
671	figshare12229922	Virus Detection	2	3	0.6666666666666666
676	figshare12234368	Classical epidemiology	2	3	0.6666666666666666
677	figshare12234368	Clinical	2	3	0.6666666666666666
678	figshare12234368	Epidemiology	2	3	0.6666666666666666
683	figshare12234371	Classical epidemiology	2	3	0.6666666666666666
688	figshare12247820	Classical epidemiology	2	3	0.6666666666666666
693	figshare12249572	Behavioral Research	3	3	1.0
694	figshare12249572	Individual Prevention	2	3	0.6666666666666666
698	figshare12249575	Classical epidemiology	2	3	0.6666666666666666
701	figshare12249578	Behavioral Research	2	3	0.6666666666666666
702	figshare12249578	Classical epidemiology	2	3	0.6666666666666666
706	figshare12249581	Classical epidemiology	2	3	0.6666666666666666
707	figshare12249581	Individual Prevention	2	3	0.6666666666666666
710	figshare12250034	Classical epidemiology	2	3	0.6666666666666666
715	figshare12250733	Public Health Interventions	3	3	1.0
716	figshare12250733	Classical epidemiology	2	3	0.6666666666666666
717	figshare12250733	Forecasting	2	3	0.6666666666666666
719	figshare12250913	Medical Care	2	3	0.6666666666666666
720	figshare12250913	Treatment	2	3	0.6666666666666666
722	figshare12253919	Classical epidemiology	2	3	0.6666666666666666
727	figshare12270884	Epidemiology	2	3	0.6666666666666666
728	figshare12270884	Forecasting	2	3	0.6666666666666666
729	figshare12270884	Public Health Interventions	2	3	0.6666666666666666
734	figshare12272015	Virus Factors	2	3	0.6666666666666666
742	figshare12272327	Immunological Response	2	3	0.6666666666666666
